┌────────┬──────────────┬──────────────┬─────────────┬─────────────┐
│ code   │ ufA1         │ sfA1         │ ufA9        │ sfA9        │
│ UInt16 │ Float64      │ Float64      │ Float64     │ Float64     │
├────────┼──────────────┼──────────────┼─────────────┼─────────────┤
│ 0x0000 │ 0.0          │ 0.0          │ 0.0         │ 0.0         │
│ 0x0001 │ 1.72723e-77  │ 1.72723e-77  │ 0.00390625  │ 0.00390625  │
│ 0x0002 │ 3.45447e-77  │ 3.45447e-77  │ 0.0078125   │ 0.0078125   │
│ 0x0003 │ 6.90893e-77  │ 6.90893e-77  │ 0.0117188   │ 0.0117188   │
│ 0x0004 │ 1.38179e-76  │ 1.38179e-76  │ 0.015625    │ 0.015625    │
│ 0x0005 │ 2.76357e-76  │ 2.76357e-76  │ 0.0195312   │ 0.0195312   │
│ 0x0006 │ 5.52715e-76  │ 5.52715e-76  │ 0.0234375   │ 0.0234375   │
│ 0x0007 │ 1.10543e-75  │ 1.10543e-75  │ 0.0273438   │ 0.0273438   │
│ 0x0008 │ 2.21086e-75  │ 2.21086e-75  │ 0.03125     │ 0.03125     │
│ 0x0009 │ 4.42172e-75  │ 4.42172e-75  │ 0.0351562   │ 0.0351562   │
│ 0x000a │ 8.84344e-75  │ 8.84344e-75  │ 0.0390625   │ 0.0390625   │
│ 0x000b │ 1.76869e-74  │ 1.76869e-74  │ 0.0429688   │ 0.0429688   │
│ 0x000c │ 3.53737e-74  │ 3.53737e-74  │ 0.046875    │ 0.046875    │
│ 0x000d │ 7.07475e-74  │ 7.07475e-74  │ 0.0507812   │ 0.0507812   │
│ 0x000e │ 1.41495e-73  │ 1.41495e-73  │ 0.0546875   │ 0.0546875   │
│ 0x000f │ 2.8299e-73   │ 2.8299e-73   │ 0.0585938   │ 0.0585938   │
│ 0x0010 │ 5.6598e-73   │ 5.6598e-73   │ 0.0625      │ 0.0625      │
│ 0x0011 │ 1.13196e-72  │ 1.13196e-72  │ 0.0664062   │ 0.0664062   │
│ 0x0012 │ 2.26392e-72  │ 2.26392e-72  │ 0.0703125   │ 0.0703125   │
│ 0x0013 │ 4.52784e-72  │ 4.52784e-72  │ 0.0742188   │ 0.0742188   │
│ 0x0014 │ 9.05568e-72  │ 9.05568e-72  │ 0.078125    │ 0.078125    │
│ 0x0015 │ 1.81114e-71  │ 1.81114e-71  │ 0.0820312   │ 0.0820312   │
│ 0x0016 │ 3.62227e-71  │ 3.62227e-71  │ 0.0859375   │ 0.0859375   │
│ 0x0017 │ 7.24454e-71  │ 7.24454e-71  │ 0.0898438   │ 0.0898438   │
│ 0x0018 │ 1.44891e-70  │ 1.44891e-70  │ 0.09375     │ 0.09375     │
│ 0x0019 │ 2.89782e-70  │ 2.89782e-70  │ 0.0976562   │ 0.0976562   │
│ 0x001a │ 5.79563e-70  │ 5.79563e-70  │ 0.101562    │ 0.101562    │
